,index,year,month,expenses_per_capita,average_price_per_kg_or_l
10230,13044,1.0,3,0.037914691943127965,0.37583892617449666
10272,13095,1.0,3,0.07582938388625593,0.3713646532438479
10312,13146,1.0,3,0.08056872037914693,0.3825503355704698
10354,13197,1.0,3,0.037914691943127965,0.34675615212527966
10395,13248,1.0,3,0.042654028436018954,0.36465324384787473
10437,13299,1.0,3,0.018957345971563982,0.4295302013422819
10480,13350,1.0,3,0.02843601895734597,0.37583892617449666
10523,13401,1.0,3,0.037914691943127965,0.3042505592841164
10564,13452,1.0,3,0.02843601895734597,0.38031319910514544
10607,13503,1.0,3,0.07109004739336493,0.3982102908277405
10650,13554,1.0,3,0.042654028436018954,0.3668903803131991
10692,13605,1.0,3,0.023696682464454978,0.5973154362416108
10733,13656,1.0,3,0.018957345971563982,0.36465324384787473
10773,13707,1.0,3,0.09478672985781991,0.35794183445190164
10814,13758,1.0,3,0.0,0.0
10856,13860,1.0,4,0.16113744075829387,0.34228187919463093
10898,13911,1.0,4,0.13270142180094788,0.3668903803131991
10940,13962,1.0,4,0.047393364928909956,0.3736017897091723
10982,14013,1.0,4,0.14691943127962084,0.3736017897091723
11023,14064,1.0,4,0.2132701421800948,0.3557046979865772
11066,14115,1.0,4,0.09004739336492891,0.31767337807606266
11109,14166,1.0,4,0.10900473933649289,0.32214765100671144
11152,14217,1.0,4,0.14691943127962084,0.3713646532438479
11194,14268,1.0,4,0.07109004739336493,0.4519015659955258
11237,14319,1.0,4,0.11848341232227488,0.319910514541387
11279,14370,1.0,4,0.06635071090047394,0.33557046979865773
11321,14421,1.0,4,0.1042654028436019,0.38031319910514544
11362,14472,1.0,4,0.07109004739336493,0.3243847874720358
11404,14523,1.0,4,0.06635071090047394,0.44071588366890385
11445,14574,1.0,4,0.09004739336492891,0.3736017897091723
11486,14625,1.0,4,0.05687203791469194,0.3064876957494408
11529,14676,1.0,4,0.05213270142180095,0.3557046979865772
11571,14778,1.0,5,0.47393364928909953,0.25055928411633116
11613,14829,1.0,5,0.48815165876777256,0.2393736017897092
11656,14880,1.0,5,0.35545023696682465,0.23713646532438482
11698,14931,1.0,5,0.48815165876777256,0.21923937360178972
11739,14982,1.0,5,0.5450236966824644,0.1946308724832215
11781,15033,1.0,5,0.49289099526066354,0.21252796420581657
11824,15084,1.0,5,0.4312796208530806,0.21029082774049218
11866,15135,1.0,5,0.5971563981042655,0.20805369127516782
11909,15186,1.0,5,0.3981042654028436,0.21029082774049218
11952,15237,1.0,5,0.4075829383886256,0.21923937360178972
11994,15288,1.0,5,0.2796208530805687,0.22818791946308728
12036,15339,1.0,5,0.29857819905213273,0.21923937360178972
12079,15390,1.0,5,0.14691943127962084,0.23266219239373603
12121,15441,1.0,5,0.2796208530805687,0.21923937360178972
12163,15492,1.0,5,0.23222748815165878,0.22818791946308728
12205,15543,1.0,5,0.21800947867298578,0.21700223713646533
12247,15594,1.0,5,0.32227488151658773,0.23042505592841167
12289,15696,1.0,6,0.7440758293838863,0.21252796420581657
12331,15747,1.0,6,0.7630331753554503,0.1968680089485459
12373,15798,1.0,6,0.5876777251184834,0.18568232662192394
12415,15849,1.0,6,0.8767772511848342,0.1946308724832215
12457,15900,1.0,6,0.5971563981042655,0.18568232662192394
12499,15951,1.0,6,0.7630331753554503,0.18568232662192394
12542,16002,1.0,6,0.8009478672985781,0.1923937360178971
12585,16053,1.0,6,0.933649289099526,0.18344519015659955
12629,16104,1.0,6,0.8672985781990522,0.18568232662192394
12671,16155,1.0,6,0.7440758293838863,0.19015659955257272
12712,16206,1.0,6,0.34123222748815163,0.20134228187919465
12754,16257,1.0,6,0.4834123222748815,0.20805369127516782
12796,16308,1.0,6,0.6445497630331755,0.1923937360178971
12838,16359,1.0,6,0.5876777251184834,0.19910514541387025
12881,16410,1.0,6,0.36018957345971564,0.18568232662192394
12922,16461,1.0,6,0.45023696682464454,0.18344519015659955
12963,16512,1.0,6,0.6777251184834123,0.20134228187919465
13004,16614,1.0,7,0.933649289099526,0.18568232662192394
13046,16665,1.0,7,0.7914691943127962,0.17002237136465326
13088,16716,1.0,7,1.0,0.16778523489932887
13129,16767,1.0,7,0.9905213270142179,0.17225950782997765
13171,16818,1.0,7,0.7156398104265403,0.18791946308724833
13213,16869,1.0,7,0.7962085308056872,0.16778523489932887
13255,16920,1.0,7,0.8862559241706162,0.17002237136465326
13297,16971,1.0,7,0.9004739336492891,0.15659955257270694
13338,17022,1.0,7,0.8862559241706162,0.16107382550335572
13381,17073,1.0,7,0.9810426540284359,0.16778523489932887
13423,17124,1.0,7,0.4407582938388626,0.18344519015659955
13465,17175,1.0,7,0.5734597156398105,0.17897091722595082
13507,17226,1.0,7,0.4218009478672986,0.1633109619686801
13549,17277,1.0,7,0.6729857819905213,0.18791946308724833
13591,17328,1.0,7,0.6066350710900474,0.18791946308724833
13633,17379,1.0,7,0.7582938388625593,0.16107382550335572
13676,17430,1.0,7,0.5687203791469194,0.18344519015659955
13718,17532,1.0,8,0.6682464454976303,0.17449664429530204
13760,17583,1.0,8,0.6872037914691943,0.17449664429530204
13801,17634,1.0,8,0.95260663507109,0.16107382550335572
13842,17685,1.0,8,0.6872037914691943,0.1521252796420582
13883,17736,1.0,8,0.6635071090047393,0.18344519015659955
13925,17787,1.0,8,0.5924170616113744,0.1633109619686801
13967,17838,1.0,8,0.5876777251184834,0.16107382550335572
14009,17889,1.0,8,0.4834123222748815,0.13870246085011187
14050,17940,1.0,8,0.9146919431279621,0.16107382550335572
14091,17991,1.0,8,0.6492890995260664,0.14541387024608504
14133,18042,1.0,8,0.4597156398104265,0.17897091722595082
14174,18093,1.0,8,0.4549763033175355,0.16107382550335572
14213,18144,1.0,8,0.32227488151658773,0.16107382550335572
14255,18195,1.0,8,0.5497630331753555,0.19015659955257272
14296,18246,1.0,8,0.46919431279620855,0.16107382550335572
14336,18297,1.0,8,0.47393364928909953,0.15659955257270694
14376,18348,1.0,8,0.5308056872037915,0.15659955257270694
14418,18450,1.0,9,0.38388625592417064,0.18120805369127518
14459,18501,1.0,9,0.35545023696682465,0.17897091722595082
14500,18552,1.0,9,0.5071090047393365,0.16778523489932887
14541,18603,1.0,9,0.3696682464454977,0.16554809843400448
14582,18654,1.0,9,0.2511848341232228,0.16107382550335572
14625,18705,1.0,9,0.41232227488151657,0.17002237136465326
14668,18756,1.0,9,0.3080568720379147,0.17897091722595082
14710,18807,1.0,9,0.3127962085308057,0.16107382550335572
14752,18858,1.0,9,0.4170616113744076,0.18120805369127518
14794,18909,1.0,9,0.45023696682464454,0.17449664429530204
14836,18960,1.0,9,0.2701421800947867,0.19910514541387025
14878,19011,1.0,9,0.2938388625592417,0.18568232662192394
14920,19062,1.0,9,0.13744075829383887,0.16107382550335572
14962,19113,1.0,9,0.2085308056872038,0.16778523489932887
15004,19164,1.0,9,0.2511848341232228,0.2259507829977629
15045,19215,1.0,9,0.4218009478672986,0.1946308724832215
15087,19266,1.0,9,0.32227488151658773,0.1633109619686801
15129,19368,1.0,10,0.06635071090047394,0.18568232662192394
15171,19419,1.0,10,0.0995260663507109,0.1923937360178971
15214,19470,1.0,10,0.09478672985781991,0.17002237136465326
15257,19521,1.0,10,0.10900473933649289,0.2237136465324385
15299,19572,1.0,10,0.02843601895734597,0.2214765100671141
15342,19623,1.0,10,0.08530805687203791,0.19910514541387025
15384,19674,1.0,10,0.07582938388625593,0.2214765100671141
15427,19725,1.0,10,0.09004739336492891,0.1498881431767338
15470,19776,1.0,10,0.18009478672985782,0.21700223713646533
15512,19827,1.0,10,0.10900473933649289,0.21252796420581657
15551,19878,1.0,10,0.05213270142180095,0.19910514541387025
15593,19929,1.0,10,0.037914691943127965,0.19910514541387025
